model,magnitude_cm,force_N,fired,success
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,0
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,3,0.1175,1,1
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,0
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,5,0.1234,1,1
VLA-Adapter,8,0.1315,1,0
VLA-Adapter,8,0.1315,1,1
VLA-Adapter,8,0.1315,1,1
VLA-Adapter,8,0.1315,1,0
VLA-Adapter,8,0.1315,1,0
VLA-Adapter,8,0.1315,1,1
VLA-Adapter,8,0.1315,1,1
VLA-Adapter,8,0.1315,1,1
VLA-Adapter,8,0.1315,1,1
VLA-Adapter,8,0.1315,1,0
VLA-Adapter,8,0.1315,1,1
VLA-Adapter,8,0.1315,1,0
VLA-Adapter,8,0.1315,1,0
VLA-Adapter,8,0.1315,1,0
VLA-Adapter,8,0.1315,1,0
VLA-Adapter,8,0.1315,1,1
VLA-Adapter,8,0.1315,1,0
VLA-Adapter,8,0.1315,1,1
VLA-Adapter,8,0.1315,1,1
VLA-Adapter,8,0.1315,1,0
VLA-Adapter,8,0.1315,1,0
VLA-Adapter,8,0.1315,1,0
